Sample,ROI,Amplitude_mean,Amplitude_std,APD50_s_mean,APD50_s_std,APD90_s_mean,APD90_s_std,APD50_90_Ratio_mean,APD50_90_Ratio_std,Upstroke_Time_s_mean,Upstroke_Time_s_std,Repolarization_Time_s_mean,Repolarization_Time_s_std
CRISPH222P_PreISO003,#7 (Mono - Tx Red),0.014120147,0.000433515,0.2275,0.019452053,0.325333333,0.028257222,0.702104414,0.065486715,0.106277778,0.015133934,4.9605,2.409826898
CRISPH222P_PreISO003,#8 (Mono - Tx Red),0.014607795,0.000490705,0.237428571,0.019166563,0.327952381,0.035678391,0.727856421,0.055199544,0.114380952,0.020589988,5.198761905,2.749219597
CRISPH222P_PreISO003,#9 (Mono - Tx Red),0.012787907,0.000532776,0.2283,0.019612295,0.30785,0.023367262,0.743179211,0.057600174,0.10965,0.018439874,5.38215,2.657444623
CRISPH222P_PreISO003,#10 (Mono - Tx Red),0.018393488,0.000577842,0.23175,0.014260269,0.3158,0.02518688,0.736805495,0.055220216,0.1126,0.018562554,5.14645,2.822373609
CRISPH222P_PreISO004,#1 (Mono - Tx Red),0.013924585,0.000560105,0.255571429,0.022577802,0.341285714,0.030929182,0.750167423,0.041897688,0.144571429,0.024947087,5.447952381,2.93860238
CRISPH222P_PreISO004,#2 (Mono - Tx Red),0.015194312,0.00043617,0.250888889,0.018489707,0.344777778,0.023880968,0.728684734,0.044260961,0.142555556,0.0160302,5.198388889,2.817670046
CRISPH222P_PreISO004,#3 (Mono - Tx Red),0.015952468,0.000455608,0.251894737,0.011685198,0.345578947,0.023868426,0.730425647,0.031767783,0.139684211,0.013503303,5.061210526,2.800800472
CRISPH222P_PreISO004,#4 (Mono - Tx Red),0.014599419,0.000546009,0.25685,0.015267009,0.35135,0.024160156,0.732565647,0.040606487,0.1482,0.017258408,5.30605,2.946756816
CRISPH222P_PreISO004,#5 (Mono - Tx Red),0.013409274,0.000478108,0.259789474,0.016406567,0.353473684,0.028671256,0.737239283,0.047071997,0.150789474,0.018032622,4.560315789,2.678242252
CRISPH222P_PreISO004,#6 (Mono - Tx Red),0.011971995,0.000517049,0.255058824,0.014254256,0.334470588,0.01566492,0.76313504,0.037088197,0.147352941,0.014547084,5.124529412,2.822119685
CRISPH222P_PreISO004,#7 (Mono - Tx Red),0.013451,0.000596474,0.252058824,0.017415764,0.347352941,0.027002179,0.727957423,0.051430975,0.138470588,0.017000433,5.299294118,2.868950217
CRISPH222P_PreISO004,#8 (Mono - Tx Red),0.010978915,0.000487861,0.2478125,0.020278786,0.3409375,0.039150085,0.730714005,0.050860991,0.1340625,0.022272461,4.4165,2.700865195
CRISPH222P_PreISO004,#9 (Mono - Tx Red),0.010376522,0.000388929,0.2474,0.020790686,0.3394,0.035880503,0.731745068,0.047346529,0.13925,0.024010688,5.38465,2.894519236
CRISPH222P_PreISO004,#10 (Mono - Tx Red),0.016287668,0.00096173,0.246785714,0.015690166,0.346785714,0.027288145,0.714201891,0.052979446,0.133214286,0.018439834,4.961642857,2.927973692
CRISPH222P_PreISO005,#1 (Mono - Tx Red),0.009366455,0.003246191,0.2504,0.037597872,0.3755,0.051706974,0.66791539,0.067003792,0.1133,0.028115041,5.184,3.048358903
CRISPH222P_PreISO005,#2 (Mono - Tx Red),0.010728732,0.003623097,0.271333333,0.034434721,0.354888889,0.032382265,0.765637492,0.075751471,0.140111111,0.03424341,4.660333333,3.114665472
CRISPH222P_PreISO005,#3 (Mono - Tx Red),0.012521487,0.001330351,0.297571429,0.039752808,0.423428571,0.109773793,0.721797878,0.104712659,0.151714286,0.058340136,4.334857143,2.892126175
CRISPH222P_PreISO005,#4 (Mono - Tx Red),0.01347607,0.00260886,0.2924,0.033590177,0.4044,0.027862161,0.723690082,0.078139157,0.124,0.031304952,4.6636,2.813882425
CRISPH222P_PreISO005,#5 (Mono - Tx Red),0.014076656,0.00193688,0.29775,0.027675415,0.394,0.030692019,0.757037134,0.061087189,0.15375,0.025035689,5.244,2.628808747
CRISPH222P_PreISO005,#6 (Mono - Tx Red),0.012704536,0.000602033,0.31,0.026457513,0.696666667,0.070237692,0.448397014,0.065492235,0.166666667,0.047258156,4.273,3.419544853
CRISPH222P_PreISO005,#7 (Mono - Tx Red),0.013541784,0.000798565,0.3,0.043588989,0.67,0.03,0.449953358,0.083949873,0.153333333,0.057735027,4.256333333,3.400591174
CRISPH222P_PreISO005,#8 (Mono - Tx Red),0.012511403,0.002377284,0.310333333,0.032684349,0.685333333,0.044071155,0.455151389,0.062369673,0.15,0.048166378,5.1805,2.979978305
CRISPH222P_PreISO005,#9 (Mono - Tx Red),0.00982753,0.002427775,0.2686,0.03329114,0.3706,0.039182904,0.725459615,0.061197097,0.1304,0.039437292,4.7698,3.379326664
CRISPH222P_PreISO005,#10 (Mono - Tx Red),0.009860747,0.002225757,0.32,0.02,0.686666667,0.04163332,0.468353175,0.05810842,0.156666667,0.025166115,4.256333333,3.402444758
