DataTable:,LQT2iso_untreated
Date:, January 8 2026 13:55:15
Description:,Combined Primary_DataTable DataTable for group LQT2iso_untreated in plate D:\KIC Drive D\12-22-2025_Elliana\LQT2__199____LQT3__78c1__in_10uM_ROCKinhibitor_20251222173217
Channel:,Nucleus
Nucleus Enabled:,true
Nucleus Folder Name:,DAPI
Nucleus Thresholding Method:,SavitskyGolay
Nucleus Sensitivity:,100.0%
Nucleus Filtering Method:,None
Nucleus Filtering Radius:,5
Nucleus Size:,0
Channel:,Reference
Reference Enabled:,true
Reference Folder Name:,FluoVolt
Reference Thresholding Method:,SavitskyGolay
Reference Sensitivity:,100.0%
Reference Filtering Method:,None
Reference Filtering Radius:,1
Reference Size:,0
Channel:,Calcium
Calcium Enabled:,true
Calcium Folder Name:,FluoVolt
Calcium Thresholding Method:,SavitskyGolay
Calcium Sensitivity:,100.0%
Calcium Filtering Method:,None
Calcium Filtering Radius:,1
Calcium Size:,0
Channel:,Voltage
Voltage Enabled:,true
Voltage Folder Name:,FluoVolt
Voltage Thresholding Method:,SavitskyGolay
Voltage Sensitivity:,100.0%
Voltage Filtering Method:,None
Voltage Filtering Radius:,1
Voltage Size:,0
Channel:,TMRM
TMRM Enabled:,true
TMRM Folder Name:,FluoVolt
TMRM Thresholding Method:,SavitskyGolay
TMRM Sensitivity:,100.0%
TMRM Filtering Method:,None
TMRM Filtering Radius:,1
TMRM Size:,0


Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable

integer,id,ID of each record
1656,6359.0,304.43718563933675,0,1681.0,156.09612423119287,216,0,0.4790376408891858,0.14566952593200755,2.8974644558347658,29.047262715135496,60.7568431043533,0.15868765483525218,0.3441134234784552,0.3441134234784552,0.044409177510952184,0.044409177510952184,0.04540741175591152,0.017674773106295474,791.863151943091,670.9617249973165,612.1781409823947,534.0064997378244,339.74811331818586,616.0675991526621,495.16617220688755,436.3825881919657,358.21094694739537,true,true,false,0.6254798760196977,62.67335836460896,1.0145385316848599,60.71523923255597,485.76977818988684,0.0073668553819355035,581.4536340852131,8.757517104279504E-5,0.8030754032097628,0.011783102020563799,0.011783102020563799,60.71523923255597,988.2197741193704,1.0117831020205639,1.0117831020205639,1.0,0.8285735527827428,0.06507144797021708,109.02744634807057,128.65749286202336,6.482556569973728,570.7321884097241,0.6472067686468318,56.982089924274895,0.0323358392177889,113.61737677527155,4.1075533888239183E-4,57.709330178002055,0.0011076959381285834,0.0011012294606444996,3.0,3.0,5.0,1219.05; 2176.39; 3216.08; 4183.71,987.5430804880139,2.6963138366985064,44.87250218877213,0.003568583327818816,3.2216271676935304,241.3255193289032,982.4561403508773,31.239587044733657,98.60326681864103,0.994167659948285,7.726336595470145,24.331735220115746,0.2442022773162528,388.3047385760012,12.418067730259594,39.12144302579372,0.39293358496295033,412.8667093404776,0.4604036716629279,13.19533012456059,41.57868698915967,0.4177883504794208,594.7972245379574,18.927073725467654,59.725857062018115,0.6018875963780399,647.9995590384209,20.619423802902404,65.06682553152415,0.655724137493475,752.9410090057978,23.972003683637865,75.63231126030239,0.7619165581631516,914.7973218463057,29.07864222583706,91.792572048497,501.93061250582815,0.925702304086666,1.4104128508565013,0.9385327697533999,0.6725183320157286,122.93416990321482,57.404203364740546,120.05009239906599,54.52012586059171,117.16601489491723,51.63604835644295,113.99305930059654,48.463092762122265,8.104558533523297,B03,0
1657,4507.0,268.4175851169219,0,1232.0,134.31306712304652,217,0,0.47094697041494105,0.1791049702111192,2.144198690300565,21.49572621855203,61.21399144813334,0.21685525847685433,0.44326248442576865,0.44326248442576865,0.031890577540560676,0.031890577540560676,0.03186629700557013,0.03892132327240202,854.4799448064501,831.6376921999962,799.0044256257574,610.2666336250276,502.4833602244239,714.2314546151885,691.3892020087345,658.7559354344958,470.0181434337659,true,true,false,0.7020834463576945,61.47234626818966,1.025791465243676,60.08719759197113,530.0865556410597,0.008933718340272102,646.6165413533836,2.1868296897181006E-4,0.6294320143955963,0.019605572774884616,0.019605572774884616,60.08719759197113,998.5488157966151,1.0196055727748847,1.0196055727748847,1.0,0.6548480252280122,0.0710350441989953,86.86767666121784,103.45437651960503,11.815771473871411,640.8917481411565,1.1788438202352307,63.94143049073439,0.02760616590935069,90.22556390977434,5.735974978825733E-4,58.76309611010633,0.0014273049775644444,0.001407186848958581,2.0,2.0,4.0,1203.01; 2179.06; 3200.11,980.1680723734221,1.9162154340017463,31.82005313873528,0.005760565235254982,4.0359736186759605,177.50943432733516,997.4937343358395,31.556357250463908,99.77502615968493,0.9989433851965124,5.6352929574336486,17.796959105177127,0.17776740758109352,366.167642175133,11.620070562618745,36.702308600102796,0.36669979111939,402.5987484953562,0.4283975714858812,12.768499815243462,40.33773141099836,0.4031838425186793,616.9542323022775,19.533751883539892,61.74502542477953,0.6178508476924969,700.3117117552288,22.171432982976754,70.08421009142384,0.7013294700034661,910.7773447121683,28.79591055940392,91.0650802695369,0.9121009712335144,952.7437537333091,30.136240396726464,95.289556836793,550.1450052379529,0.9541283697514937,1.4690835473850727,0.8881499795688568,0.7625463289695449,98.26380892685893,61.00286479078545,95.6704628591441,58.40951872307062,93.07711679142881,55.81617265535533,90.0450781302012,52.78413399412773,9.032375805936097,B03,0
1658,5512.0,285.9860136440242,0,1307.0,133.8656042454521,218,0,0.7348638971002637,0.1294032437145213,3.4212949686068432,34.29869642713627,60.27947868047938,0.15902835667054926,0.20905772609577675,0.20905772609577675,0.006163649463748364,0.006163649463748364,0.006143016049955348,0.217892498838944,728.1365814480936,626.3248244396179,544.1880330089746,451.97674525037365,351.7988729445033,663.341045200634,561.5292881921584,479.392496761515,387.1812090029141,true,true,false,0.6259702887266777,60.50245240824242,1.0120153627687916,60.0,392.31592799687365,0.006869171730294412,358.3959899749373,6.959378948429835E-5,0.8681792619033419,0.010092896775449722,0.010092896775449722,60.0,1000.0,1.010093118906715,1.0100741078926925,0.9999812111172428,0.8673665020284297,0.04863702509515122,79.10150135455797,107.32504650575187,4.889224890371761,468.2795908200454,0.48880967877693304,46.82522393711639,0.02150845462013838,87.71929824561406,2.2724429027258782E-4,59.7140344068519,0.0011175846349836612,0.0011125193461062823,4.0,4.0,6.0,200.501; 1205.29; 2196.99; 3195.99; 4200.50,995.3636181566732,0.3698189678249018,6.143016049955349,0.003605771706167563,3.2263969933876897,104.25506904478108,962.1666880981368,30.42867384061097,96.2214214295862,0.9621666880981368,3.299294067140912,10.430679449608132,0.10425506904478109,290.67363069184756,9.197155524841985,29.078400230682973,0.29067363069184754,314.6968090538602,0.36881846066182883,9.957789135156162,31.482726809890867,0.3146968090538602,471.41742935143157,14.911873202361424,47.15086160127893,0.47141742935143155,536.4935492354057,16.969867431148586,53.658693057370975,0.5364935492354057,672.1195612786182,21.258613801578527,67.22102151177845,0.6721195612786183,839.6047809866822,26.5523631068,83.9640539062471,524.907971932822,0.8396047809866821,1.9744752291750198,0.9444223257706452,0.8478920306644299,111.46819953858856,72.00866674126706,96.30590332792487,56.846370530603366,89.49913263992634,50.039599842604844,84.51680398503197,45.05727118771046,2.541666429712245,B03,0
1660,2154.0,193.98969044771425,0,749.0,108.83014288330233,220,0,0.5032514278737962,0.16424973513533792,4.189334565310886,41.998341506876045,60.8368535077419,0.12410017439661256,0.18927359373005292,0.18927359373005292,0.05749553148880992,0.05749553148880992,0.05815843832996025,0.18189285764549332,762.3752798185666,730.2517119136886,662.5053544354648,518.798279822733,513.3536443169589,672.1260682928284,640.0025003879506,572.2561429097267,428.5490682969949,true,true,false,0.5725698649717207,63.887333728201284,1.01964274637989,60.5839007698245,385.7694463879513,0.008866340619273105,411.02756892230576,1.6091925814361234E-4,0.626252057634901,0.016236013446375635,0.016236013446375635,60.5839007698245,990.3621133270552,1.0162360134463757,1.0162360134463757,1.0,0.6505534886625118,0.06677327449270885,116.38942095357713,155.82346931941834,8.544237427846591,530.755187672517,0.8531781542292972,52.998391652886575,0.029710089554855528,76.85881370091904,4.998170100253579E-4,56.99525344073434,0.0017569319343590762,0.0017441529277482395,3.0,3.0,5.0,1213.03; 2152.19; 3204.91; 4184.12,986.2442999680218,3.48330357442638,57.59791389226065,0.004809429766756225,2.7374024415525757,148.60618940767617,972.4310776942356,30.874596321619332,97.49737820031426,0.9818944652753511,4.802824116817845,15.077728128239505,0.1500523772142733,272.820786116346,8.771198215529838,27.583664028123536,0.27547579056697036,304.97157902694534,0.35055648084989394,9.79300876492636,30.80931961603085,0.3079394646897525,502.1588673415284,16.00092141407975,50.46845428576364,0.5070457164951103,643.5186999462593,20.450404983480677,64.5597697215611,0.6497812176845107,832.9080084795816,26.4051453977616,83.42509067119047,0.8410136022686518,910.0146103312676,28.883314301941738,91.21923059366254,605.0430313043223,0.9188705808566671,3.609249652684575,0.9225810591571144,0.7419495278181087,147.6393305127011,89.28235263076301,139.51254592924352,81.15556804730545,132.92067221974335,74.5636943378053,124.72042012352624,66.36344224158817,7.491779487676166,B03,0
1661,3318.0,244.2744358298674,0,647.0,105.64090116995405,221,0,0.7113217573016272,0.1389174866997548,4.653867355079454,46.65531183037046,60.22426530020909,0.09201194198883263,0.24482542337096952,0.24482542337096952,0.031344868015361675,0.031344868015361675,0.030570738577410727,0.22184864348302372,650.6802447787916,573.4009583081629,485.56247757380254,423.6526204018729,311.8953518793759,561.1797982667895,483.90051179616086,396.06203106180055,334.15217388987094,true,true,false,0.5169538912621743,62.237564910215866,1.0115220885655734,59.505483186096086,353.64087735480655,0.0033417593634749027,325.8145363408521,3.227638429500139E-5,0.7823981902764297,0.009521695843777406,0.009521695843777406,59.505483186096086,1008.3104411127522,1.009521857401311,1.0095076028515597,0.9999859070077822,0.7856912300511403,0.04508009770801144,90.58443064956398,130.20163576233438,4.502287679365676,464.60360651524456,0.4500067418050729,46.44323506521556,0.02369791489459631,90.22556390977444,2.4040410312405934E-4,58.06701804635686,0.0016042634791754234,0.0015978232761324766,4.0,4.0,6.0,180.749; 1205.08; 2169.13; 3202.42; 4213.99,996.2761637839639,1.8651915166585054,30.82479490013164,0.003670823053705109,2.2881671878436567,143.4333362851272,999.9999999999998,31.516579942496342,99.7739214057468,0.9917580531016011,4.5379082756631535,14.347514031011684,0.14225116634400503,290.4561278622782,9.182627637453168,29.03990763186372,0.2880622038801228,321.206215638919,0.40272379519751333,10.151761699243217,32.10796992317465,0.3185588510661874,444.2253080043705,14.020575564696513,44.36450348609236,0.4405640266048737,521.1595997756374,16.446051996393784,52.04215046280016,0.5168642300286959,636.3379905418898,20.074509638392353,63.530636752311594,0.6310933266144099,780.1912864322557,24.60114713643752,77.86845008441233,458.98507079333666,0.7737609912788876,1.658672799521903,0.9613683585757584,0.8080011872188204,129.51104165346416,75.57815188033896,113.15335941340228,59.22046964027708,104.83801484675939,50.905125073634174,97.50697937376441,43.5740896006392,5.3262260484498976,B03,0
1665,3887.0,253.34561373743972,0,931.0,114.00877159236477,4,0,0.786784044737243,0.09528972257723209,2.540724685149581,25.47092416190056,60.50504922448575,0.17186431794820148,0.043796021141253666,0.043796021141253666,0.047212729124510584,0.047212729124510584,0.048724427213217146,0.23033928497574258,757.5457905218404,675.7613496695565,556.6438312324585,482.753979666284,432.0243981369335,648.5633081911868,566.7788673389027,447.6613489018049,373.7714973356303,true,true,false,0.6440543940714578,63.18842638797859,1.0147299832705747,60.58887641462659,420.13846246545995,0.010542629425119705,473.6842105263157,1.4083132812934437E-4,0.8092848598582659,0.012935678818433771,0.012935678818433771,60.58887641462659,990.280783380158,1.0129356788184338,1.0129356788184338,1.0,0.8524670541885806,0.0609272350663392,79.04509877742848,106.31860411407798,6.527605275614839,515.4394473241053,0.6528426070226788,51.561045828433066,0.02728571295460277,85.21303258145366,3.545634095449479E-4,56.64432206541862,0.001280478054232142,0.0012721605542538863,4.0,4.0,6.0,224.710; 1174.25; 2233.49; 3200.42; 4185.83,991.6527755789122,2.8605662101222133,48.25086395045417,0.004361436878367603,3.4061004512748205,165.37311372703851,936.5804968035818,29.72269822203421,93.87544574841043,0.9457726662196966,5.227016518130144,16.531016096593117,0.1669961858318254,259.06431751004027,8.22854647243712,25.981463800573643,0.26160693195092355,314.28533785627593,0.36046199213984365,9.952539809521383,31.45627146764017,0.3173699249050511,499.18356124288846,15.828460744238871,50.00634031962275,0.5040828516726426,565.0716197822608,17.90251394136485,56.5746315045252,0.570617575606671,713.6731951775325,22.632771153266702,71.49972600567517,0.72067761705072,865.9406583882856,27.46503295305357,86.76160332113841,551.6553205320097,0.874439525558137,1.7924397385851036,0.9415352228692684,0.7838114797513931,108.394867866445,52.0042364700602,97.92477022095298,41.53413882456818,88.4530728052733,32.0624414088885,82.31764011597674,25.927008719591953,2.9038281081381454,A05,0
1666,5281.0,285.0964748992874,0,1361.0,138.76599006961325,5,0,0.7756366489247705,0.11329658374766384,1.9787116767218882,19.836708538565293,60.36282734931155,0.2492294332143221,0.07750613939795092,0.07750613939795092,0.0461500875479454,0.0461500875479454,0.04602599447877869,0.17927692073667587,710.4769562641926,590.1185278955634,510.7096375579645,441.50205838568064,374.6834850942732,631.8904694541463,511.5320410855171,432.1231507479183,362.91557157563443,true,true,false,0.7395100092258629,62.67756752682375,1.0173765713795706,59.85004762249714,366.67071832089914,0.0031408566851932975,486.21553884711784,4.992861790506635E-5,0.8552155609017156,0.015790297960887573,0.015790297960887573,59.85004762249714,1002.5054679730363,1.0157903112886637,1.0157894710770932,0.9999991731162056,0.9089860473974214,0.0576863093784822,37.19907056285483,59.09587685883118,6.678837054990298,426.8597983406672,0.6684826443681204,42.73359636679336,0.0356062343665637,35.087719298245545,5.639056255998421E-4,57.28427151557815,0.0011610208087007906,0.0011540469525629297,4.0,4.0,6.0,225.890; 1194.46; 2241.87; 3199.15; 4235.91,993.9892254017209,2.7620849375269443,46.141311133872414,0.005212068622136238,4.489212065000509,103.65124443722098,985.6401756811366,31.138699917819448,98.49643434174065,0.9831768575527079,3.2657751349361845,10.33943313404449,0.10339219859497946,208.44455937802107,6.569515773357688,20.796947776483606,0.20792361342374988,255.86370927404175,0.33041657654253853,8.058539465394048,25.51653797188149,0.2552242530820027,403.869788883754,12.723879861518405,40.28481003341561,0.40286043496634233,481.23785399426123,15.16808114760312,48.016210397919,0.4800351413217476,598.6061722519903,18.862649391209793,59.71680545629542,0.597110131940039,774.2427607127419,24.43631611895502,77.32093671696174,518.3790514387001,0.7723077683338543,2.088268252297687,0.9525920364034651,0.8300123420667658,63.76580444854923,38.70104682137449,52.43545742060966,27.370699793434916,44.10395204465516,19.039194417480417,39.73579560858059,14.671037981405846,1.6059123880504176,A05,0
1667,7291.0,325.6071252291633,0,1775.0,160.15617378046966,6,0,0.7765813199053432,0.10026310053100608,1.7202528015464122,17.245642120766036,60.74021410519844,0.2855901818842826,0.07179287399494279,0.07179287399494279,0.055006897294411244,0.055006897294411244,0.05485799850081746,0.21151525243819017,632.1745833102797,523.3071044125492,469.44197613879805,422.79021145129593,326.38267195621984,565.0971346508215,456.22965575309115,402.36452747934,355.71276279183786,true,true,false,0.7780254710848318,63.36516257663889,1.012880612564412,60.174287521976204,338.3185857872912,0.006203450070382229,320.8020050125315,7.423617932676043E-5,0.8645298197715295,0.011824324119297291,0.011824324119297291,60.174287521976204,997.1036213447055,1.0118243241192972,1.0118243241192972,1.0,0.9349097932107723,0.06591132847820488,60.29196066125901,73.00799215978856,4.880413394184284,439.43532928046625,0.48775866769357357,43.959220897726944,0.039689716404376935,62.65664160400998,4.685283534360069E-4,57.13509867265472,8.389304038054767E-4,8.352261579202486E-4,4.0,4.0,6.0,250.483; 1197.38; 2247.52; 3200.56; 4238.90,987.8134426079495,3.3100008534857173,54.699108964887515,0.004193194416360326,4.998262546379956,117.81140668634308,911.4959080999148,28.80402331752603,91.1016989089141,0.9141436141518179,3.7205657330697366,11.769964124093182,0.11815362432187464,223.8759117263112,7.077266202275867,22.381333176983357,0.22452622469106023,257.88421217520295,0.3636885065005153,8.146387840521822,25.76863670959762,0.2586333121801496,398.6105464485502,12.583221711498991,39.81235548268478,0.39976842718811856,485.05072083750423,15.317842629608396,48.45821071988449,0.48645969230696323,561.0611120215362,17.724895544282454,56.06591851499441,0.562690877869727,706.3268847700424,22.33303089903283,70.62197968967553,448.44267259483945,0.7083786174775715,1.7545018994670842,0.9620027699913986,0.7147060488150647,74.15230145976271,23.41834343287769,68.30896970125045,17.57501167436542,64.47551715554869,13.741559128663667,62.2605093862083,11.526551359323278,4.350833855077017,A05,0
1668,5562.0,290.68883707497264,0,1380.0,141.2515486640766,7,0,0.8038523995884319,0.10511240918361398,2.03517560436008,20.402762950978243,60.310524746407395,0.2782912356546965,0.06326274203579275,0.06326274203579275,0.04653311096666055,0.04653311096666055,0.04622494193320709,0.15020401780371703,710.6956896277443,576.6895826920593,495.3797786177124,423.37984423528565,362.4851110045566,639.2447053525295,505.23859841684447,423.92879434249767,351.9288599600709,true,true,false,0.7705631686062665,62.96967808797317,1.0177625173428992,59.644395671315884,342.92823227526907,0.003255114640710103,288.22055137844615,5.50024195266726E-5,0.8905580034309668,0.016659976203300897,0.016659976203300897,59.644395671315884,1005.9620744695571,1.0166599762033008,1.0166599762033008,1.0,0.931381643046263,0.05686232990104896,55.693123387850534,89.1640945319214,7.191831185465814,433.96148076883185,0.7190100946480877,43.38869626853756,0.03028482933129395,57.64411027568923,5.053061548646105E-4,56.839135440025714,0.0011234324952673672,0.001115973816865578,4.0,4.0,6.0,211.090; 1194.36; 2226.49; 3179.33; 4234.94,994.8512345446655,2.7754392823127505,46.50053847936382,0.005500412337223691,4.896077299165751,114.5107630545434,946.3024622075866,29.79406946751841,94.35045884738886,0.9406939746774957,3.6020252230363448,11.410223063658899,0.11383208767082478,228.09105413521098,7.1801105106460525,22.738991050694846,0.22673921803213423,253.0428771299188,0.3202424431155857,7.962106753383866,25.21917651869302,0.25154315808908406,398.62135566311963,12.547048323428475,39.73704804719343,0.3962588310034574,481.3938835239485,15.143615510781377,47.96976555202232,0.4785407877108956,610.9937799447204,19.222629998527445,60.88856003723985,0.6073725793955969,800.1631924241509,25.17748487714531,79.74715450388611,547.1203152942321,0.7954208341761554,2.1528829896801325,0.9463470868511085,0.8012093674619302,89.4675027964067,46.40772401707805,75.21709547594465,32.15731669661599,66.45296567763486,23.39318689830621,58.01403928866283,14.954260509334176,1.963940950665838,A05,0
1669,7119.0,316.33526518553066,0,1551.0,146.6287829861518,8,0,0.741238851186645,0.12683074851330084,1.636499813601476,16.4060131689371,61.51942945784911,0.34033280612321415,0.10373579694463897,0.10373579694463897,0.04111237180906569,0.04111237180906569,0.041046315521710286,0.2583212639832769,710.3644442312687,583.3129507566208,501.28931773943407,434.2381806346765,349.4080974687347,638.3628324573124,511.3113389826645,429.2877059654778,362.23656886072024,true,true,false,0.8302459274590117,62.28570387146367,1.0189377250634315,60.0639435041245,367.8670884166582,0.0041033400270951694,135.3383458646617,7.037093992606991E-5,0.8822759069734731,0.017307835375606373,0.017307835375606373,60.0639435041245,998.9354094920506,1.0173078353756064,1.0173078353756064,1.0,0.948210940745373,0.07441653917656224,46.39655246935368,63.192631016611315,7.442396861106215,425.85909982235245,0.7427362369462474,42.50082333001622,0.0361021512634408,45.11278195488718,6.323139611327908E-4,57.853569235746384,9.903565407578371E-4,9.839316435924323E-4,4.0,4.0,6.0,239.354; 1203.01; 2234.69; 3197.99; 4235.10,975.3016328135786,2.4693711776602827,41.00261800381958,0.005709068028858153,5.764659285724998,103.10014118740705,970.6367414772624,30.729965810769478,97.13560224893686,0.9716711733852965,3.249796793471488,10.287483254898035,0.10321001759246128,220.74727876804036,6.955802646688747,22.021600156628494,0.22098253467687998,240.31281691322846,0.3101313846810645,7.57525477595832,23.979634278610757,0.24056892430655283,414.2636408860119,13.062276022808677,41.34506042561096,0.41470513203317233,483.22770353095916,15.254010314171637,48.26419699353248,0.4837426914085226,585.0133571179341,18.47583689630524,58.448901261650825,0.5856368205181635,770.6020909967342,24.36870145338664,77.05777881904923,530.2892740835057,0.7714233409631343,2.3513110573531324,0.942322537536105,0.771572163407828,60.237646765465435,29.139117352014686,56.814509059779496,25.715979646328748,53.014674944475644,21.916145531024895,48.98952289628262,17.890993482831874,4.445015895823031,A05,0
1676,6925.0,311.6921558204505,0,1455.0,141.9859147943908,15,0,0.6460723702145781,0.16621671659728393,2.7558446683023816,27.627515471703074,60.71023223533775,0.1658556284678432,0.2581073936317156,0.2581073936317156,0.030061500524060307,0.030061500524060307,0.029761140752513612,0.22203582015237686,694.4669207573177,633.9506164181867,522.1834223483411,443.42219635107847,362.68209805814365,605.4981839290303,544.9818795898993,433.2146855200537,354.4534595227911,true,true,false,0.6356826321225553,61.789836851447156,1.0123461518491828,59.51489640420199,373.3951437330789,0.006752935602005054,448.6215538847117,6.85250432239427E-5,0.7783721852887854,0.00916397695122606,0.00916397695122606,59.51489640420199,1008.1509609376344,1.0091639769512262,1.0091639769512262,1.0,0.8380692742310769,0.05824992845727864,75.81274141931439,99.56095484679179,4.300817496332478,498.64957647018304,0.4293405775834661,49.8301532984119,0.029381423787698834,77.69423558897243,2.8456553246018073E-4,58.041334957332005,9.942749113793E-4,9.905538128798404E-4,4.0,4.0,6.0,199.137; 1195.71; 2226.96; 3197.99; 4231.74,988.301276256289,1.789107089444313,30.00372264824679,0.003302960175532021,3.321978798549805,138.01645806618433,844.9868418970108,26.597201350419333,84.23646042453194,0.83815507264024,4.343744658134874,13.757694130571936,0.1369005867313975,254.33315296727397,7.9966077864715,25.335563436097303,0.25227685418335616,304.5526795494055,0.3934540332825819,9.57677183730333,30.340718963553066,0.3020903528834166,449.20788515239326,14.116455911525941,44.73276448385184,0.4455760124799225,523.9122850288433,16.47101280137783,52.186625142363646,0.5196764228063392,641.0610232287257,20.171478646031225,63.89261104074916,0.6358780064371556,790.8353793331437,24.89856635143994,78.85048324687563,486.28269978373817,0.7844414278964972,1.6473871523156731,0.9426217157619261,0.757376442580669,96.36845857582593,47.320737337928946,89.73454816408028,40.6868269261833,84.69742182691935,35.64970058902237,80.49008867776482,31.442367439867844,4.300542787312169,A05,0
1678,7684.0,329.01671690052467,0,1815.0,159.31101656822105,17,0,0.6770180165198161,0.135248267122721,2.1005760225068775,21.05840624067045,61.10257177508334,0.3439497182138686,0.1960461185202084,0.1960461185202084,0.04015260564527912,0.04015260564527912,0.04022972918893362,0.21152475928661607,818.602735049639,611.6214960382515,532.3652189129083,447.06867372419856,366.89190525935214,732.7898810565205,525.8086420451328,446.5523649197897,361.2558197310799,true,true,false,0.8334847262393097,62.420750460454705,1.0201969201340788,60.24187754461773,379.0168450871143,0.006317307199727399,463.6591478696742,1.2191485535360653E-4,0.86498919818677,0.016568314571270393,0.016568314571270393,60.24187754461773,995.9848936574299,1.0165683145712703,1.0165683145712703,1.0,0.9389289422095466,0.06437788117128997,57.72129260596882,73.68510844496575,7.8221515292408546,478.9118130857322,0.7809471617100959,47.82744677180177,0.03431075853229469,57.644110275689286,5.71993494104289E-4,57.70863039675966,9.451956950211723E-4,9.386003490365157E-4,4.0,4.0,6.0,234.339; 1195.56; 2235.26; 3197.99; 4218.28,981.9553949522473,2.4188683523802315,40.06820254810725,0.0054965927964540865,5.81529605499416,129.16794569306515,959.1166619280949,30.420960817811167,96.10026820680372,0.9629831416479135,4.089016889435197,12.925568054625103,0.12968865945219105,256.685620885862,8.116279272742904,25.665950780539607,0.25772039568117117,297.29248319190384,0.33806405216142915,9.40436184362047,29.73488463906243,0.2984909561230332,436.7381376930831,13.802346483723829,43.65440222441687,0.4384987568328518,507.40903683291697,16.04188173319876,50.73120142449627,0.5094545510320169,639.6048475823042,20.24302983013032,63.99406944429968,0.6421832817499509,892.1721976156178,28.31846901947059,89.43655334875177,594.879714423714,0.8957688046245423,2.0795076102135495,0.9225567742324386,0.7534803363568936,73.56946256597882,30.21437086603229,68.600438913821,25.245347213874467,63.13457111932043,19.7794794193739,60.34036310871841,16.98527140877188,3.8182989285589515,A05,0
1680,7122.0,316.8469662155533,0,1538.0,147.13259326199616,19,0,0.7331113192922837,0.13189502585827834,1.9332773130627907,19.381226196118202,60.91953979131924,0.33985411618671363,0.16088558435525113,0.16088558435525113,0.0471556458098571,0.0471556458098571,0.047061996678866264,0.21980214169151718,705.4087910725747,611.6583668872659,534.1843886727164,451.4177491660654,362.6084664276139,601.553812070628,507.8033878853192,430.3294096707697,347.56277016411866,true,true,false,0.8298154643572829,62.952087405791055,1.0185895497996853,60.22893436484736,410.6277067908568,0.0041483178458977844,288.220551378446,6.356043459736605E-5,0.8764345891303307,0.01578423446370436,0.01578423446370436,60.22893436484736,996.1989305097023,1.0157842344637045,1.0157842344637045,1.0,0.9570625161156269,0.0641993459159461,47.181744635320115,61.67252354967243,7.288944715631623,457.6097652717663,0.7276164321335141,45.682437506142335,0.03548525355092076,47.61904761904772,5.563552232734852E-4,57.613023709086406,9.705514722969061E-4,9.642283523529426E-4,4.0,4.0,6.0,242.615; 1195.72; 2237.15; 3195.62; 4227.41,984.9056674677922,2.840134296413873,46.883110759137736,0.005588394251933408,5.757957626613991,134.47653588767102,966.6715095158082,30.649817477982186,96.8333208035543,0.9703599149832589,4.243511561552502,13.428046804950814,0.1349896408931763,249.67857032788822,7.879056875365629,24.932019191622224,0.25063123707645507,301.62814062841994,0.39033914805287034,9.529200297010432,30.142206762191954,0.30277902474166757,457.8094514261769,14.458270693457358,45.738955283780285,0.45955625669256644,501.2250904260849,15.832011270330188,50.082049523947965,0.5031375512214559,626.433091188959,19.814491413826588,62.6508447731122,0.6288232922198043,766.4086502627135,24.266294963167386,76.70122900908495,464.7805096342936,0.7693329382220705,1.5974673381050564,0.9571093046902008,0.778291671362501,60.999859190138814,30.37830230441447,54.94872862513246,24.327171739408115,52.18024711700898,21.558690231284636,49.80734126001953,19.18578437429518,3.631349681494717,A05,0
1681,6359.0,299.1655060330318,0,1193.0,129.41406415069423,20,0,0.5998048774612919,0.1330227737995275,3.112713658261423,31.205149456254865,60.765469639596134,0.12784420257783605,0.034118191999597494,0.034118191999597494,0.037678279598071907,0.037678279598071907,0.037631225297813216,0.18117102198977977,771.2965704712767,740.293272692255,641.4922947803643,526.1620817005746,450.13262374972146,695.0392583827827,664.0359606037609,565.2349826918703,449.90476961208066,true,true,false,0.5786184499767645,62.26061849096055,1.0121262715845694,60.10598638973904,437.24056771471027,0.008890726754361093,624.06015037594,9.383219393070874E-5,0.7856920996234545,0.009709626607147304,0.009709626607147304,60.10598638973904,998.2366749785654,1.0097096266071472,1.0097096266071472,1.0,0.8339266801118247,0.09004848027916032,49.06083425729452,58.61917954091179,4.952431486013815,523.794390435809,0.4946857022645013,52.337467580601114,0.04299877199411467,50.12531328320788,4.18297677350326E-4,58.01203240710219,0.0011502691744252386,0.0011442205713867223,4.0,4.0,6.0,200.501; 1227.50; 2195.49; 3229.76; 4193.45,987.4028844977882,2.264690160710492,37.56486921665834,0.003209042609384884,2.7898188360897045,117.5207906373505,941.127965455486,29.84234280838528,94.28131321394682,0.9427904113778371,3.721583485687642,11.762804899042793,0.117728384042666,301.78301444023316,9.574733481007275,30.24384820335957,0.3023160959766512,351.19213110367326,0.4228142430737294,11.146558455401937,35.20435527581523,0.35181249087168054,486.3014019720048,15.435618815635324,48.749717510578584,0.48716042413733884,576.7714685528742,18.30601692962188,57.8164453389905,0.5777903006471476,760.4706151703332,24.169837668538573,76.3011848688256,0.761813940753742,831.9396715583679,26.411418718377174,83.4089607504129,480.7475404546946,0.8334092429295205,1.3795739450699642,0.9391283749305549,0.7024351053735975,60.643101087091274,19.3796225382348,55.71195174814985,14.448473199293375,52.18684622541235,10.923367676555877,50.609386852299544,9.345908303443068,5.9996272782917295,A05,0
